Title,Artist,id,artist_genres,is_single,total_tracks,release_date,day_of_week,release_season,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,words_count,stopwords_count,blobs_polarity,words_neg_count,words_pos_count,words_curse_count,avg_most_common_words_size,words_repeat_count,words_negative_pct,words_positive_pct,words_curse_pct,words_repeat_pct,stopwords_pct
Side To Side,Ariana Grande,4pLwZjInHj3SimIyN9SnOz,"['dance pop', 'pop', 'post-teen pop']",1,15,2016-05-20,5,1,2016,1,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.882999999999999,0,0.247,159.145,4,0.603,2339.0,173,0,480,275,2,5.32,204,20.52,11.76,0.09,8.72,7.4
Sit Still Look Pretty,Daya,0Mlm5SrNK34Jqn8Rk1Gs3g,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house', 'viral pop']",1,14,2016-10-07,5,3,2016,1,0.141,0.657,202221,0.7390000000000001,0.0,2,0.17800000000000002,-4.081,1,0.274,181.99400000000003,4,0.5429999999999999,2534.0,137,0,1056,1000,0,5.01,269,41.67,39.46,0.0,10.62,5.41
Middle,DJ Snake,4OZEu0Vwq0RB2LAq14v99n,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop rap']",1,14,2016-08-05,5,2,2016,1,0.0199,0.611,220573,0.7,0.0,9,0.0549,-5.331,1,0.0436,104.981,4,0.213,945.0,71,0,96,175,1,5.41,88,10.16,18.52,0.11,9.31,7.51
On My Mind,Ellie Goulding,5a7NdkF09AfD0H607eiOkX,"['dance pop', 'edm', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",1,22,2015-11-06,5,3,2015,1,0.258,0.7020000000000001,213445,0.705,5.93e-06,0,0.0879,-6.666,1,0.0543,154.911,4,0.743,2352.0,189,0,600,525,0,5.25,183,25.51,22.32,0.0,7.78,8.04
Pop Style,Drake,1snt6FNtZASSQrJuS9serg,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0,1,2016-04-04,1,1,2016,1,0.187,0.7909999999999999,209453,0.49,1.95e-06,11,0.104,-9.05,1,0.242,133.085,4,0.0499,2000.0,145,0,432,375,10,5.61,185,21.6,18.75,0.5,9.25,7.25
When We Were Young,Adele,7IWkJwX9C0J7tHurTD7ViL,"['british soul', 'pop', 'uk pop']",1,11,2016-06-24,5,2,2016,1,0.348,0.381,290907,0.594,0.0,3,0.0925,-5.97,1,0.0486,143.86,4,0.273,1795.0,147,0,456,175,0,5.19,165,25.4,9.75,0.0,9.19,8.19
Hide Away,Daya,6QzJcnl5cvlDHVrx9mhE99,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house', 'viral pop']",1,14,2016-10-07,5,3,2016,1,0.225,0.885,192376,0.8009999999999999,1.65e-06,11,0.0733,-4.716,0,0.0882,95.011,4,0.466,1597.0,114,1,120,950,0,5.34,174,7.51,59.49,0.0,10.9,7.14
Lean On,Major Lazer,4WjH9Bzt3kx7z8kl0awxh4,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap', 'tropical house']",1,9,2015-05-29,5,1,2015,1,0.00346,0.723,176561,0.809,0.00123,7,0.565,-3.0810000000000004,0,0.0625,98.007,4,0.274,1208.0,99,0,168,150,0,5.05,122,13.91,12.42,0.0,10.1,8.2
I Know What You Did Last Summer,Shawn Mendes,7crplFzt7spG80NCbpmuCp,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",1,16,2015-11-20,5,3,2015,1,0.123,0.657,223827,0.769,0.0,9,0.245,-4.591,0,0.115,113.966,4,0.7120000000000001,3024.0,193,0,2976,2375,0,4.97,351,98.41,78.54,0.0,11.61,6.38
All The Way Up,Fat Joe,61QSuw5VlC0LTS8WMO356g,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']",0,1,2016-03-02,3,1,2016,1,0.062,0.536,191942,0.721,0.0,10,0.8240000000000001,-6.44,0,0.386,117.139,5,0.393,528.0,45,-1,168,175,1,5.4,30,31.82,33.14,0.19,5.68,8.52
Watch Me Whip Nae Nae,Silento,1CvhKmrutTAta5awpJcFDn,['pinoy hip hop'],0,1,2015-05-04,1,1,2015,1,0.234,0.8190000000000001,185131,0.768,0.0,8,0.334,-8.522,1,0.134,139.982,4,0.964,1834.0,83,1,1008,1250,0,4.94,151,54.96,68.16,0.0,8.23,4.53
Back To Sleep,Chris Brown,6dlpABcXrQKRU9G00i6Zba,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",1,18,2015-12-18,5,4,2015,1,0.0424,0.647,201253,0.6459999999999999,0.0,9,0.0888,-5.483,0,0.243,92.981,4,0.721,1913.0,125,0,840,625,10,5.01,204,43.91,32.67,0.52,10.66,6.53
No Limit,Usher,4DRDMf5vftalExCy0fHbHl,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'urban contemporary']",0,1,2016-06-13,1,2,2016,1,0.0794,0.7170000000000001,228905,0.516,0.0,10,0.16399999999999998,-6.466,0,0.0601,127.026,4,0.258,2772.0,195,0,648,375,10,5.31,285,23.38,13.53,0.36,10.28,7.03
Cut It,OT Genasis,376KnY4TrgBITxjlnbnmIy,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0,1,2015-09-25,5,3,2015,1,0.135,0.875,222600,0.6729999999999999,0.0,7,0.292,-4.184,1,0.0932,130.0,4,0.231,2439.0,216,0,216,275,16,5.27,178,8.86,11.28,0.66,7.3,8.86
Really Really,Kevin Gates,10I3CmmwT0BkOVhduDy53o,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,17,2016-01-29,5,4,2016,1,0.00427,0.762,232093,0.6659999999999999,0.0,0,0.127,-6.055,1,0.0916,118.97,4,0.278,3158.0,183,0,336,425,6,6.06,310,10.64,13.46,0.19,9.82,5.79
All In My Head Flex,Fifth Harmony,7nD9nN3jord9wWcfW3Gkcm,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'viral pop']",1,12,2016-05-27,5,1,2016,1,0.023,0.6890000000000001,210573,0.7909999999999999,0.0,0,0.0526,-5.194,0,0.053,95.04,4,0.755,1996.0,168,0,168,125,2,5.52,179,8.42,6.26,0.1,8.97,8.42
Starving,Hailee Steinfeld,2zDt2TfQbxiSPjTVJTgbwz,"['dance pop', 'pop', 'post-teen pop']",0,1,2016-07-22,5,2,2016,1,0.409,0.7240000000000001,181880,0.628,0.0,4,0.105,-4.2189999999999985,1,0.0962,99.898,4,0.524,1572.0,103,0,528,675,3,5.5,134,33.59,42.94,0.19,8.52,6.55
Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M,"['permanent wave', 'pop']",1,11,2015-12-04,5,4,2015,1,0.00205,0.638,263787,0.924,0.000173,7,0.149,-3.887,1,0.0359,111.995,4,0.529,1130.0,68,0,72,100,0,5.2,110,6.37,8.85,0.0,9.73,6.02
Humble And Kind,Tim McGraw,1qosWrKxri24ZIzH4ZDFcp,"['contemporary country', 'country', 'country road']",1,14,2015-01-01,4,4,2015,1,0.675,0.476,257347,0.48,2.45e-06,11,0.122,-7.31,1,0.026,151.47799999999995,3,0.14800000000000002,1415.0,79,0,168,500,0,5.24,157,11.87,35.34,0.0,11.1,5.58
Wicked,Future,6BbINUfGabVyiNFJpQXn3x,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,12,2016-04-13,3,1,2016,1,0.00191,0.718,173347,0.679,0.0104,11,0.385,-5.899,0,0.0706,157.97,4,0.205,1866.0,91,0,2064,275,11,5.87,205,110.61,14.74,0.59,10.99,4.88
Tiimmy Turner,Desiigner,0zMxL4BTjSqCsUtfdlcL8G,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']",0,1,2016-07-22,5,2,2016,1,0.168,0.602,239853,0.723,0.0,6,0.0781,-3.0210000000000004,1,0.0405,122.812,4,0.293,3500.0,216,0,1080,525,41,5.32,347,30.86,15.0,1.17,9.91,6.17
See You Again,Wiz Khalifa,7wqSzGeodspE3V6RBD5W8L,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",0,1,2015-03-10,2,1,2015,1,0.369,0.6890000000000001,229526,0.481,1.03e-06,10,0.0649,-7.502999999999999,1,0.0815,80.025,4,0.28300000000000003,1876.0,167,0,432,200,1,5.38,146,23.03,10.66,0.05,7.78,8.9
Perfect,One Direction,3NLnwwAQbbFKcEcV8hDItk,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",1,17,2015-11-13,5,3,2015,1,0.0598,0.647,230333,0.823,0.0,2,0.119,-5.231,1,0.0762,99.933,4,0.396,2171.0,134,1,432,800,0,5.44,222,19.9,36.85,0.0,10.23,6.17
Shape of You,Ed Sheeran,0FE9t6xYkqWXU2ahLh6D8X,"['pop', 'uk pop']",0,1,2017-01-06,5,4,2017,1,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,4,0.931,2958.0,249,0,192,125,0,5.18,267,6.49,4.23,0.0,9.03,8.42
Despacito Remix,Luis Fonsi,5CtI0qwDJkDQGwXD1H1cLb,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",0,1,2017-04-17,1,1,2017,1,0.229,0.6940000000000001,228827,0.815,0.0,2,0.0924,-4.328,1,0.12,88.931,4,0.813,3072.0,70,0,360,50,1,5.98,329,11.72,1.63,0.03,10.71,2.28
Thats What I Like,Bruno Mars,0KKkJNfGyhkQ5aFogxQAPU,"['dance pop', 'pop', 'post-teen pop']",1,9,2016-11-17,4,3,2016,1,0.013,0.853,206693,0.56,0.0,1,0.0944,-4.961,1,0.0406,134.066,4,0.86,2318.0,191,0,288,675,1,5.34,212,12.42,29.12,0.04,9.15,8.24
HUMBLE,Kendrick Lamar,7ujx3NYtwO2LkmKGz59mXp,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",1,14,2017-04-14,5,1,2017,1,0.000243,0.906,177000,0.625,3.2299999999999986e-05,1,0.0975,-6.779,0,0.0903,150.018,4,0.423,2737.0,201,0,408,475,51,5.45,215,14.91,17.35,1.86,7.86,7.34
Something Just Like This,The Chainsmokers,1dNIEtp7AY3oDAKCGg2XkH,"['electropop', 'pop', 'tropical house']",0,1,2017-02-22,3,4,2017,1,0.0306,0.607,247627,0.649,2.46e-05,11,0.174,-6.695,0,0.0362,102.996,4,0.505,1622.0,60,0,120,550,0,5.8,169,7.4,33.91,0.0,10.42,3.7
Bad Boujee,Migos,1FvU97lrWOG2NRxErh6OZz,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0,1,2016-10-28,5,3,2016,1,0.0633,0.897,334467,0.6609999999999999,0.0,8,0.116,-6.2,0,0.27,127.081,4,0.193,5653.0,387,0,1968,700,50,5.25,552,34.81,12.38,0.88,9.76,6.85
Closer,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,"['electropop', 'pop', 'tropical house']",0,1,2016-07-29,5,2,2016,1,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.6609999999999999,1770.0,96,0,840,425,0,5.03,196,47.46,24.01,0.0,11.07,5.42
Body Like A Back Road,Sam Hunt,1W0z9ZFfzkpvAQ23Sd7Cti,"['contemporary country', 'country pop']",0,1,2017-02-01,3,4,2017,1,0.484,0.731,165387,0.466,1.42e-06,5,0.105,-7.2189999999999985,1,0.0327,98.959,4,0.653,1324.0,105,0,240,275,1,4.96,144,18.13,20.77,0.08,10.88,7.93
Believer,Imagine Dragons,0CcQNd8CINkwQfe1RDtGV6,"['modern rock', 'rock']",1,11,2017-06-23,5,2,2017,1,0.0524,0.779,204347,0.787,0.0,10,0.14,-4.305,0,0.108,124.982,4,0.708,1970.0,167,0,456,500,1,5.22,185,23.15,25.38,0.05,9.39,8.48
Congratulations,Post Malone,6syOdAs4IK8kPWR7gDyjRw,"['dfw rap', 'melodic rap', 'rap']",1,14,2016-12-09,5,4,2016,1,0.199,0.629,220293,0.8170000000000001,0.0,6,0.317,-4.261,1,0.0357,123.087,4,0.466,2344.0,126,0,792,825,8,5.96,240,33.79,35.2,0.34,10.24,5.38
Say You Wont Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,"['pop', 'post-teen pop', 'talent show', 'uk pop']",1,17,2016-10-28,5,3,2016,1,0.695,0.358,211467,0.557,0.0,10,0.0902,-7.398,1,0.059,85.04299999999998,4,0.494,1628.0,105,0,552,375,0,5.01,149,33.91,23.03,0.0,9.15,6.45
Im the One,DJ Khaled,3DXncPQOG4VBw3QHh3S817,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",1,22,2017-06-22,4,2,2017,1,0.0552,0.609,288600,0.6679999999999999,0.0,7,0.16699999999999998,-4.284,1,0.0367,80.92399999999998,4,0.8109999999999999,4046.0,274,0,840,2450,5,5.34,351,20.76,60.55,0.12,8.68,6.77
XO TOUR Llif3,Lil Uzi Vert,2eMwDehkIC1j68U6FA3Eiq,"['melodic rap', 'philly rap', 'rap']",0,1,2017-03-24,5,1,2017,1,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.3660000000000005,0,0.231,155.096,4,0.401,2240.0,187,0,672,325,2,5.35,200,30.0,14.51,0.09,8.93,8.35
Mask Off,Future,0VgkVdmE4gld66l8iyGjgx,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,20,2017-06-30,5,2,2017,1,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,0.281,1865.0,92,0,408,200,19,5.95,202,21.88,10.72,1.02,10.83,4.93
Unforgettable,French Montana,3B54sVLJ402zGa6Xm4YGNe,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,18,2017-07-14,5,2,2017,1,0.0293,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733,2325.0,184,0,1152,650,7,4.87,211,49.55,27.96,0.3,9.08,7.91
24K Magic,Bruno Mars,6b8Be6ljOzmkOmFslEb23P,"['dance pop', 'pop', 'post-teen pop']",1,9,2016-11-17,4,3,2016,1,0.034,0.818,225983,0.8029999999999999,0.0,1,0.153,-4.282,1,0.0797,106.97,4,0.632,2171.0,123,0,288,600,4,5.17,221,13.27,27.64,0.18,10.18,5.67
Stay,Zedd,0dA2Mk56wEzDgegdC6R17g,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'post-teen pop', 'tropical house']",0,1,2017-02-23,4,4,2017,1,0.232,0.679,210091,0.634,0.0,5,0.115,-5.024,0,0.0654,102.013,4,0.498,1372.0,129,0,144,200,1,5.15,124,10.5,14.58,0.07,9.04,9.4
Wild Thoughts,DJ Khaled,1OAh8uOEOvTDqkKFsKksCi,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",1,22,2017-06-22,4,2,2017,1,0.0329,0.6709999999999999,204173,0.672,0.0,0,0.118,-3.094,0,0.0688,97.98,4,0.632,2020.0,119,0,432,275,3,5.21,214,21.39,13.61,0.15,10.59,5.89
Black Beatles,Rae Sremmurd,21xJVN5wEbJogczYxfZhqR,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,14,2016-08-12,5,2,2016,1,0.158,0.794,291893,0.647,0.0,0,0.139,-6.232,1,0.0628,145.945,4,0.345,2858.0,168,0,1032,475,6,5.31,319,36.11,16.62,0.21,11.16,5.88
Starboy,The Weeknd,5aAx2yezTd8zXrkmtKl66Z,"['canadian contemporary r&b', 'canadian pop', 'pop']",1,18,2016-11-25,5,3,2016,1,0.165,0.6809999999999999,230453,0.594,3.49e-06,7,0.134,-7.028,1,0.282,186.054,4,0.535,2197.0,149,0,360,450,13,5.15,219,16.39,20.48,0.59,9.97,6.78
Location,Khalid,1WIfWj5skn5UUZTs4cEFBe,"['alternative r&b', 'pop']",0,1,2017-10-31,2,3,2017,1,0.28300000000000003,0.799,217566,0.436,0.000105,1,0.0968,-9.975,0,0.379,80.028,4,0.311,1519.0,107,0,408,25,0,5.54,143,26.86,1.65,0.0,9.41,7.04
Attention,Charlie Puth,4iLqG9SeJSnt0cSPICSjxv,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",0,1,2017-04-20,4,1,2017,1,0.0969,0.774,211475,0.626,3.12e-05,3,0.0848,-4.432,0,0.0432,100.041,4,0.777,2360.0,201,0,336,425,0,5.27,210,14.24,18.01,0.0,8.9,8.52
Bodak Yellow,Cardi B,2771LMNxwf62FTAdpJMQfM,"['pop', 'pop rap', 'rap']",0,1,2017-06-16,5,2,2017,1,0.0672,0.929,223962,0.723,0.0,11,0.34600000000000003,-5.792000000000002,0,0.109,125.022,4,0.458,3034.0,187,0,672,725,22,4.98,296,22.15,23.9,0.73,9.76,6.16
Redbone,Childish Gambino,2Uvy6SkNqxvnH1W68dymxG,"['atl hip hop', 'pop rap', 'rap']",1,11,2016-12-02,5,4,2016,1,0.192,0.745,326933,0.359,0.00628,1,0.138,-10.429,1,0.112,160.123,4,0.55,1229.0,74,0,264,375,8,5.07,116,21.48,30.51,0.65,9.44,6.02
It Aint Me,Kygo,3eR23VReFzcdmS7TYCrhCe,"['edm', 'pop', 'tropical house']",0,1,2017-02-16,4,4,2017,1,0.119,0.64,220781,0.5329999999999999,0.0,0,0.0864,-6.596,1,0.0706,99.968,4,0.515,1497.0,74,0,312,200,0,5.6,153,20.84,13.36,0.0,10.22,4.94
iSpy,KYLE,2EEeOnHehOozLq4aS0n6SL,"['pop', 'pop rap', 'rap']",0,1,2016-12-02,5,4,2016,1,0.378,0.746,253107,0.653,0.0,7,0.229,-6.745,1,0.289,75.016,4,0.672,3133.0,193,0,816,400,8,5.34,295,26.05,12.77,0.26,9.42,6.16
Issues,Julia Michaels,1sXUWdKx03aP9Gmzft58rt,"['dance pop', 'electropop', 'pop', 'post-teen pop']",0,1,2017-01-13,5,4,2017,1,0.368,0.6829999999999999,176347,0.4270000000000001,0.0,8,0.0604,-6.827000000000001,1,0.0777,113.634,4,0.426,1542.0,92,0,360,325,1,4.88,120,23.35,21.08,0.06,7.78,5.97
Scars To Your Beautiful,Alessia Cara,42ydLwx4i5V49RXHOozJZq,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",1,15,2016-03-11,5,1,2016,1,0.0285,0.573,230227,0.7390000000000001,0.0,0,0.111,-5.74,1,0.129,97.085,4,0.451,2266.0,160,1,600,650,0,5.85,206,26.48,28.68,0.0,9.09,7.06
18002738255,Logic,5aFQU3VPCQ3YGfKBA4tLfj,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",1,13,2017-05-05,5,1,2017,1,0.568,0.627,250173,0.5720000000000001,1.52e-06,5,0.198,-7.737999999999999,0,0.0373,100.041,4,0.361,2441.0,161,0,624,575,1,5.26,243,25.56,23.56,0.04,9.95,6.6
Slow Hands,Niall Horan,167NczpNbRF7oWakJaY3Hh,"['dance pop', 'pop', 'post-teen pop']",0,1,2017-05-04,4,1,2017,1,0.0142,0.728,188174,0.426,0.0,0,0.0546,-6.69,1,0.0509,85.90799999999999,4,0.8440000000000001,1289.0,84,-1,480,350,0,5.12,135,37.24,27.15,0.0,10.47,6.52
Love On The Brain,Rihanna,26QRPeQOgmIGLCQKgoUJkG,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",1,16,2016-01-28,4,4,2016,1,0.0717,0.509,224000,0.637,1.0800000000000003e-05,4,0.0789,-4.83,0,0.0471,172.00599999999997,3,0.378,1602.0,105,1,288,125,3,5.26,151,17.98,7.8,0.19,9.43,6.55
I Feel It Coming,The Weeknd,4RepvCWqsP6zBuzvwYibAS,"['canadian contemporary r&b', 'canadian pop', 'pop']",1,18,2016-11-25,5,3,2016,1,0.429,0.769,269187,0.813,0.0,0,0.0952,-5.9,0,0.14300000000000002,92.985,4,0.5670000000000001,2371.0,163,0,288,575,0,4.78,257,12.15,24.25,0.0,10.84,6.87
Bounce Back,Big Sean,0PyWKgNmGiYTFe6MXN5U4K,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,14,2017-02-03,5,4,2017,1,0.11,0.684,222360,0.5489999999999999,0.0,9,0.125,-5.695,1,0.248,81.441,4,0.277,3265.0,190,0,624,725,23,5.39,348,19.11,22.21,0.7,10.66,5.82
Strip That Down,Liam Payne,6EpRaXYhGOB3fj4V2uDkMJ,"['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",0,1,2017-05-18,4,1,2017,1,0.246,0.8690000000000001,204502,0.485,0.0,6,0.0765,-5.595,1,0.0545,106.028,4,0.527,3228.0,252,0,576,925,0,4.97,312,17.84,28.66,0.0,9.67,7.81
Fake Love,Drake,5o2r7507gCOYdRMeR3noqZ,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",1,22,2017-03-18,6,1,2017,1,0.105,0.928,210937,0.481,0.0,9,0.17600000000000002,-9.35,0,0.287,134.007,4,0.613,2097.0,184,0,144,425,1,4.93,215,6.87,20.27,0.05,10.25,8.77
Look What You Made Me Do,Taylor Swift,6uFsE1JgZ20EXyU0JQZbUR,"['dance pop', 'pop', 'post-teen pop']",0,1,2017-08-24,4,2,2017,1,0.213,0.773,211859,0.68,1.57e-05,9,0.122,-6.377999999999999,0,0.141,128.062,4,0.4970000000000001,2300.0,216,0,912,225,0,5.11,187,39.65,9.78,0.0,8.13,9.39
Castle on the Hill,Ed Sheeran,66qlqxhEMpSHOzjRK4il0b,"['pop', 'uk pop']",0,1,2017-01-06,5,4,2017,1,0.0232,0.461,261154,0.8340000000000001,1.14e-05,2,0.14,-4.868,1,0.0989,135.007,4,0.471,1675.0,134,0,312,275,1,5.54,153,18.63,16.42,0.06,9.13,8.0
Bad Things,Machine Gun Kelly,6TXglvsCOo7dQrEgRiIdO0,"['pop rap', 'rap']",1,13,2017-05-12,5,1,2017,1,0.206,0.6779999999999999,239293,0.696,0.0,2,0.16399999999999998,-4.79,1,0.133,137.822,4,0.254,2669.0,221,0,768,250,1,5.31,221,28.77,9.37,0.04,8.28,8.28
Paris,The Chainsmokers,15vzANxN8G9wWfwAJLLMCg,"['electropop', 'pop', 'tropical house']",0,1,2017-01-13,5,4,2017,1,0.0243,0.6459999999999999,221520,0.644,0.0,2,0.0888,-6.763,1,0.031,99.999,4,0.251,1944.0,180,0,96,250,1,5.71,154,4.94,12.86,0.05,7.92,9.26
Side To Side,Ariana Grande,4pLwZjInHj3SimIyN9SnOz,"['dance pop', 'pop', 'post-teen pop']",1,15,2016-05-20,5,1,2016,1,0.0408,0.648,226160,0.738,0.0,6,0.292,-5.882999999999999,0,0.247,159.145,4,0.603,2339.0,173,0,480,275,2,5.32,204,20.52,11.76,0.09,8.72,7.4
Rockabye,Clean Bandit,5knuzwU65gJK7IF5yJsuaW,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",0,1,2016-10-21,5,3,2016,1,0.406,0.72,251088,0.763,0.0,9,0.18,-4.0680000000000005,0,0.0523,101.965,4,0.742,3084.0,164,0,1152,600,0,5.67,310,37.35,19.46,0.0,10.05,5.32
Feel It Still,Portugal The Man,7FESgYLcOufHqKlwrvJN60,"['indie pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",0,1,2017-03-02,4,1,2017,1,0.0406,0.78,163251,0.7979999999999999,6.31e-05,1,0.0733,-5.151,0,0.0613,78.969,4,0.7709999999999999,1502.0,132,0,720,450,0,4.97,126,47.94,29.96,0.0,8.39,8.79
Let Me Love You,DJ Snake,4pdPtRcBmOSQDlJ3Fk945m,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop rap']",1,14,2016-08-05,5,2,2016,1,0.0784,0.476,205947,0.718,1.02e-05,8,0.122,-5.309,1,0.0576,199.864,4,0.142,1490.0,94,1,624,175,2,5.5,120,41.88,11.74,0.13,8.05,6.31
Sorry Not Sorry,Demi Lovato,3m660poUr1chesgkkjQM7P,"['dance pop', 'pop', 'post-teen pop']",1,15,2017-09-29,5,3,2017,1,0.0214,0.7040000000000001,203760,0.633,0.0,11,0.29,-6.922999999999999,0,0.241,144.02100000000004,4,0.863,2279.0,153,0,1488,575,7,5.28,232,65.29,25.23,0.31,10.18,6.71
Bank Account,21 Savage,2fQrGHiQOvpL9UgPvtYy6G,"['atl hip hop', 'rap', 'trap']",1,14,2017-09-23,6,3,2017,1,0.0151,0.884,220307,0.34600000000000003,7.04e-06,8,0.0871,-8.228,0,0.35100000000000003,75.016,4,0.376,3223.0,211,0,192,700,25,5.26,285,5.96,21.72,0.78,8.84,6.55
CANT STOP THE FEELING,Justin Timberlake,6JV2JOEocMgcZxYSZelKcc,"['dance pop', 'pop']",0,1,2016-05-06,5,1,2016,1,0.0123,0.667,236002,0.83,0.0,0,0.191,-5.715,1,0.0749,113.03,4,0.701,2538.0,170,1,480,850,0,5.42,252,18.91,33.49,0.0,9.93,6.7
Mi Gente,J Balvin,7fwXWKdDNI5IutOMc5OKYw,"['latin', 'reggaeton']",0,1,2017-09-28,4,3,2017,1,0.0249,0.705,209733,0.7140000000000001,0.0,11,0.253,-6.39,0,0.0792,104.996,4,0.434,1187.0,14,1,192,0,0,5.74,125,16.18,0.0,0.0,10.53,1.18
Thunder,Imagine Dragons,0tKcYR2II1VCQWT79i5NrW,"['modern rock', 'rock']",1,11,2017-06-23,5,2,2017,1,0.00683,0.6,187147,0.81,0.21,0,0.155,-4.749,1,0.0479,167.88,4,0.298,1494.0,66,0,120,400,2,5.67,149,8.03,26.77,0.13,9.97,4.42
TShirt,Migos,7KOlJ92bu51cltsD9KU5I7,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,13,2017-01-27,5,4,2017,1,0.242,0.865,242407,0.687,0.0,10,0.158,-3.744,0,0.217,139.023,4,0.486,2859.0,161,0,576,225,23,5.29,323,20.15,7.87,0.8,11.3,5.63
Rake It Up,Yo Gotti,4knL4iPxPOZjQzTUlELGSY,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1,13,2017-10-27,5,3,2017,1,0.022,0.91,276333,0.444,0.0,1,0.13699999999999998,-8.126,0,0.344,149.953,4,0.53,3819.0,377,0,504,1275,70,5.22,351,13.2,33.39,1.83,9.19,9.87
Mercy,Shawn Mendes,0Zxswuv5xzIhxDnsKJLq82,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",1,16,2017-04-20,4,1,2017,1,0.118,0.561,208733,0.674,0.0,4,0.111,-4.882,0,0.0818,148.127,4,0.383,1587.0,123,0,216,450,0,5.18,157,13.61,28.36,0.0,9.89,7.75
Tunnel Vision,Kodak Black,2BoS7pU92MQtynhQ0cZOLT,"['florida rap', 'melodic rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0,1,2017-02-17,5,4,2017,1,0.0576,0.4970000000000001,268187,0.489,9.91e-05,11,0.122,-7.724,0,0.294,171.85299999999995,4,0.231,2841.0,206,0,384,500,10,5.36,277,13.52,17.6,0.35,9.75,7.25
